word,index
hair,1406
floor,1407
sense,1408
weaken,1409
heightens,1410
partner,1411
nurture,1412
ancient,1413
egyptians,1414
fifty,1415
sand,1416
eskimos,1417
snow,1418
thousand,1419
cosmic,1420
perspective,1421
precious,1422
disagree,1423
billion,1424
galaxies,1425
sentimentalim,1426
knowis,1427
sentimental,1428
lastthe,1429
romanticperson,1430
confidence,1431
aslans,1432
aslan,1433
lead,1434
narnian,1435
narnia,1436
nightmare,1437
sayi,1438
thrash,1439
paralyzed,1440
terror,1441
saysyou,1442
interrupt,1443
calm,1444
downits,1445
nightmares,1446
usually,1447
whoever,1448
front,1449
reasons,1450
past,1451
ten,1452
prelude,1453
parent,1454
awkwardly,1455
often,1456
deal,1457
abyss,1458
oh,1459
unutterable,1460
deeper,1461
alright,1462
impulsive,1463
tempered,1464
youbut,1465
abby,1466
booze,1467
money,1468
onenight,1469
sorrow,1470
larger,1471
mark,1472
degenerating,1473
obsession,1474
weight,1475
lifethat,1476
yes,1477
infatuated,1478
heightened,1479
keen,1480
capacity,1481
physical,1482
sensation,1483
fancy,1484
invent,1485
empty,1486
purifying,1487
generously,1488
clams,1489
shell,1490
receive,1491
shrink,1492
mere,1493
guess,1494
red,1495
white,1496
smooth,1497
softness,1498
youth,1499
replace,1500
delicate,1501
age,1502
surprise,1503
flash,1504
facei,1505
meredith,1506
less,1507
wave,1508
train,1509
museums,1510
park,1511
mouthi,1512
storms,1513
tighter,1514
eleanors,1515
butterfly,1516
alive,1517
seas,1518
catch,1519
backward,1520
sequestered,1521
nooksand,1522
serenity,1523
harm,1524
family,1525
jail,1526
childhoods,1527
awaken,1528
tone,1529
fox,1530
tamed,1531
quit,1532
band,1533
york,1534
liz,1535
itd,1536
erase,1537
suck,1538
peanut,1539
butter,1540
motherswhen,1541
lord,1542
mothers,1543
sixth,1544
overtime,1545
angel,1546
appear,1547
fiddling,1548
specs,1549
washable,1550
plastic,1551
moveable,1552
partsall,1553
replaceable,1554
coffee,1555
leftovers,1556
lap,1557
disappear,1558
cure,1559
leg,1560
disappointed,1561
six,1562
pairs,1563
remarked,1564
standard,1565
model,1566
nodded,1567
pair,1568
doors,1569
kids,1570
child,1571
goofs,1572
uttering,1573
sleeve,1574
gently,1575
tomorrow,1576
sickcan,1577
feed,1578
pound,1579
hamburgerand,1580
nine,1581
year,1582
shower,1583
circled,1584
mother,1585
sighed,1586
tough,1587
excitedly,1588
creator,1589
finger,1590
cheek,1591
leak,1592
pronounced,1593
sadness,1594
disappointment,1595
loneliness,1596
genius,1597
somberly,1598
unlikely,1599
depth,1600
separation,1601
absence,1602
diminish,1603
increase,1604
